2017-09-09 03:41:34,469 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-4) JBAS017535: Unregistered web context: /javaee7-petclinic-1.3-SNAPSHOT
2017-09-09 03:41:35,002 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-6) JBAS017532: Host default-host stopping
2017-09-09 03:41:35,065 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-8) JBAS010409: Unbound data source [java:jboss/datasources/ExampleDS]
2017-09-09 03:41:35,068 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 76) JBAS011410: Stopping Persistence Unit (phase 2 of 2) Service 'javaee7-petclinic-1.3-SNAPSHOT.war#javaee7petclinic'
2017-09-09 03:41:35,211 INFO  [org.jboss.weld.deployer] (MSC service thread 1-6) JBAS016009: Stopping weld service for deployment javaee7-petclinic-1.3-SNAPSHOT.war
2017-09-09 03:41:35,464 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) JBAS017521: Undertow HTTP listener default suspending
2017-09-09 03:41:35,468 INFO  [org.jboss.as.jpa] (ServerService Thread Pool -- 76) JBAS011410: Stopping Persistence Unit (phase 1 of 2) Service 'javaee7-petclinic-1.3-SNAPSHOT.war#javaee7petclinic'
2017-09-09 03:41:35,468 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) JBAS017520: Undertow HTTP listener default stopped, was bound to /127.0.0.1:8080
2017-09-09 03:41:35,479 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-4) JBAS017506: Undertow 1.1.0.Final stopping
2017-09-09 03:41:35,542 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-3) JBAS010418: Stopped Driver service with driver-name = h2
2017-09-09 03:41:35,978 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) JBAS015877: Stopped deployment javaee7-petclinic-1.3-SNAPSHOT.war (runtime-name: javaee7-petclinic-1.3-SNAPSHOT.war) in 1512ms
2017-09-09 03:41:36,017 INFO  [org.jboss.as] (MSC service thread 1-7) JBAS015950: WildFly 8.2.0.Final "Tweek" stopped in 1348ms
